Node 1 write to 15 file descriptor
Node 1 write to 17 file descriptor
Node 1 write to 19 file descriptor
Node 2 write to 25 file descriptor
Node 1 write to 21 file descriptor
Node 2 write to 27 file descriptor
Node 3 write to 35 file descriptor
Node 1 write to 23 file descriptor
Node 2 write to 29 file descriptor
Node 4 write to 45 file descriptor
Node 3 write to 37 file descriptor
Node 5 write to 55 file descriptor
Node 2 write to 31 file descriptor
Node 4 write to 47 file descriptor
Node 3 write to 39 file descriptor
Node 5 write to 57 file descriptor
Node 2 write to 33 file descriptor
Node 4 write to 49 file descriptor
Node 3 write to 41 file descriptor
Node 5 write to 59 file descriptor
Node 4 write to 51 file descriptor
Node 3 write to 43 file descriptor
Node 5 write to 61 file descriptor
Node 4 write to 53 file descriptor
Node 5 write to 63 file descriptor
Node 1 write to 9 file descriptor
Node 1 write to 11 file descriptor
Node 2 write to 13 file descriptor
Node 2 write to 15 file descriptor
Node 1 write to 9 file descriptor
Node 1 write to 11 file descriptor
Node 2 write to 13 file descriptor
Node 2 write to 15 file descriptor
Node 1 write to 9 file descriptor
Node 1 write to 11 file descriptor
Node 2 write to 13 file descriptor
Node 2 write to 15 file descriptor
Node 1 send message to 4 file descriptor
Node 1 send message to 7 file descriptor
Node 2 send message to 9 file descriptor
Node 2 send message to 11 file descriptor
Node 1 receive message from 0 file descriptor
Node 2 receive message from 0 file descriptor
Node 1 receive message from 0 file descriptor
Node 2 receive message from 0 file descriptor
Node 1 send message to 4 file descriptor
Node 2 send message to 9 file descriptor
Node 1 send message to 7 file descriptor
Node 2 send message to 11 file descriptor
Node 1 receive message from 0 file descriptor
Node 2 receive message from 0 file descriptor
Node 1 receive message from 0 file descriptor
Node 2 receive message from 0 file descriptor
Node 1 send message to 4 file descriptor
Node 1 send message to 7 file descriptor
Node 2 send message to 9 file descriptor
Node 2 send message to 11 file descriptor
Node 1 send message to 4 file descriptor
Node 1 send message to 7 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 send message to 9 file descriptor
Node 1 receive message from 10 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 send message to 11 file descriptor
Node 1 receive message from 10 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 receive message from 6 file descriptor
Node 1 send message to 4 file descriptor
Node 2 receive message from 6 file descriptor
Node 1 send message to 7 file descriptor
Node 1 receive message from 10 file descriptor
Node 1 receive message from 10 file descriptor
Node 1 send message to 4 file descriptor
Node 1 send message to 7 file descriptor
Node 1 receive message from 10 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 send message to 9 file descriptor
Node 1 receive message from 10 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 send message to 11 file descriptor
Node 1 send message to 4 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 receive message from 6 file descriptor
Node 1 send message to 7 file descriptor
Node 2 receive message from 6 file descriptor
Node 1 receive message from 10 file descriptor
Node 1 receive message from 10 file descriptor
Node 1 send message to 4 file descriptor
Node 1 send message to 7 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 send message to 9 file descriptor
Node 1 receive message from 10 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 send message to 11 file descriptor
Node 1 receive message from 10 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 receive message from 6 file descriptor
Node 1 send message to 4 file descriptor
Node 2 receive message from 6 file descriptor
Node 1 send message to 7 file descriptor
Node 1 receive message from 10 file descriptor
Node 1 receive message from 10 file descriptor
Node 1 send message to 4 file descriptor
Node 1 send message to 7 file descriptor
Node 0 receive message from 3 file descriptor
Node 1 receive message from 10 file descriptor
Node 2 send message to 9 file descriptor
Node 0 receive message from 3 file descriptor
Node 1 receive message from 10 file descriptor
Node 2 send message to 11 file descriptor
Node 0 receive message from 3 file descriptor
Node 1 send message to 4 file descriptor
Node 2 receive message from 6 file descriptor
Node 1 send message to 7 file descriptor
Node 2 receive message from 6 file descriptor
Node 1 receive message from 10 file descriptor
Node 1 receive message from 10 file descriptor
Node 1 send message to 4 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 send message to 9 file descriptor
Node 1 send message to 7 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 send message to 11 file descriptor
Node 1 receive message from 10 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 receive message from 6 file descriptor
Node 1 receive message from 10 file descriptor
Node 2 receive message from 6 file descriptor
Node 1 send message to 4 file descriptor
Node 1 send message to 7 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 send message to 9 file descriptor
Node 1 receive message from 10 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 send message to 11 file descriptor
Node 1 receive message from 10 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 receive message from 6 file descriptor
Node 1 send message to 4 file descriptor
Node 2 receive message from 6 file descriptor
Node 1 send message to 7 file descriptor
Node 1 receive message from 10 file descriptor
Node 1 receive message from 10 file descriptor
Node 1 send message to 4 file descriptor
Node 0 receive message from 3 file descriptor
Node 1 send message to 7 file descriptor
Node 2 send message to 9 file descriptor
Node 0 receive message from 3 file descriptor
Node 1 receive message from 10 file descriptor
Node 2 send message to 11 file descriptor
Node 0 receive message from 3 file descriptor
Node 1 receive message from 10 file descriptor
Node 2 receive message from 6 file descriptor
Node 2 receive message from 6 file descriptor
Node 1 send message to 4 file descriptor
Node 1 send message to 7 file descriptor
Node 0 receive message from 3 file descriptor
Node 2 send message to 9 file descriptor
Node 1 receive message from 10 file descriptor
